Locator_Name,Locator_Value
Podium Big Size,479.00
Stationbox,189.00
Stationbox Pro,399.99
DUALSHOCK 4 Wireless Controller,54.90
Accessories for unlimited gaming experience,54.90
Sneaker shoes,79.90
Sleeveless shirt,38.00
Ladies Sports Jacket,55.00
Premium Blue Jeans,109.90
6-pc dining table,636.65
Ball Chair,1869.15
Lounge Chair,1619.10
Cube chair,1,799.10
CHRONOGRAPH watch,24110.00
Touch Expert Solar,969.00
Mechanical Automatic,269.00
The blue,489.00
Supreme white ball,1.90
Soccer Football,22.90
Trainer Ball,59.90
Official game ball,59.90
TANGO BALL,59.90
Evolution High School Game Basketball,20.90
Sunglasses Aero,139.00
ORIGINAL COLLECTION,149.00
Custom Sunglasses,179.00
